"Date","BSTS_point","BSTS_lower","BSTS_upper","Auto_point","Auto_lower","Auto_upper","Manual_point","Manual_lower","Manual_upper"
2025-04-02,0.993820206695681,-13.2252524316362,15.3877047156464,2.74360138114376,-5.64318097702171,11.3879811271907,3.32281956026567,-5.9818074366739,12.6731897179802
2025-07-02,4.54936549853261,-9.54347090454509,19.1156130010889,-1.84985801426159,-11.2866403579859,7.55251822327472,-3.336845380918,-13.4368187641155,6.75521303812811
2025-10-02,2.39565552552879,-12.4844885664516,16.8262525829116,2.30768310582554,-6.45093885900122,11.2752072298249,2.33773618546815,-7.33327494537461,11.9572408731714
2026-01-02,-3.45216245850025,-18.4607628479913,11.2943917918248,0.0800374634572396,-9.05820857882379,9.22785047040157,1.01830100315522,-8.726759007563,10.9234694834841
2026-04-02,0.876961732580516,-28.9431713831944,30.5330229291527,2.41628898345162,-15.4268632953636,20.4908642114191,2.91852356824303,-15.8965687495888,21.7447604464122
2026-07-02,4.37887917515676,-25.262496679461,34.929144996377,-2.2368499463726,-21.4794131706659,16.73760370747,-3.74001632050655,-23.6342236367275,15.8804687385475
2026-10-02,2.34747438289102,-28.7147394307933,33.0372562543718,1.95040155174269,-16.3892378684191,20.5142288298958,2.01261652294893,-17.2538132725274,21.229262746258
2027-01-02,-3.47189521974092,-35.0997110393953,28.2247023575854,-0.239474073271001,-19.3385560734893,18.88218643041,0.683476411153971,-18.6802769593684,20.2371948263889
2027-04-02,0.771040559628794,-46.3701184773308,47.7208158895151,2.04728216799035,-25.9713263295601,30.1898472989508,2.58546600207396,-25.7538885110751,30.8970005649029
2027-07-02,4.28239316252537,-42.6049263824771,52.282630548357,-2.44987706524522,-31.8029712305046,26.5714634376098,-4.06517743850867,-33.5715589430994,24.9575961041344
2027-10-02,2.14295451665379,-47.3737811219568,51.6108569490087,1.64338833283184,-26.8796139319521,30.188849163816,1.63288918691068,-27.1809137689131,30.5446108058647
